Yen_Soy1066_format	Nick_Soy775_AccuTool_format	GRIN_Soybase_format	Name	Note	
SRR1533242	Tian_E_Dan	Tian_E_Dan	UN27		
SRR1533243	PI_602991	PI602991	PI602991		
SRR1533245	PI_407801	PI407801	PI407801		
SRR1533246	PI_Xian_Nian_Zhuang_Liu_Yue_Xian	PI_Xian_Nian_Zhuang_Liu_Yue_Xian	UN30		
SRR1533247	Yi_Zheng_Da_Li_Huang_Dou	Yi_Zheng_Da_Li_Huang_Dou	UN32		
SRR1533248	PI_398296	PI398296	PI398296		
SRR1533249	Da_Qing_Ren	Da_Qing_Ren	UN34		
SRR1533250	PI_603420	PI603420	PI603420		
SRR1533251	Hu_Pi_Dou	Hu_Pi_Dou	UN35		
SRR1533252	Xiang_Dou_No_4	Xiang_Dou_No_4	UN36		
SRR1533253	PI_437654	PI437654	PI437654		
SRR1533256	PI_437679	PI437679	PI437679		
SRR1533257	PI_548417	PI548417	PI548417		
SRR1533259	PI_594788	PI594788	PI594788		
SRR1533260	PI_594301	PI594301	PI594301		
SRR1533261	PI_578457A	PI578457A	PI578457A		
SRR1533262	Tai_Xin_Niu_Mao_Huang_Yi	Tai_Xin_Niu_Mao_Huang_Yi	UN42		
SRR1533263	Xia_Men_Teng_Zai_Dou	Xia_Men_Teng_Zai_Dou	UN44		
SRR1533264	PI_603756	PI603756	PI603756		
SRR1533265	PI_80822	PI80822	PI80822		
SRR1533266	PI_438498	PI438498	PI438498		
SRR1533267	PI_548391	PI548391	PI548391		
SRR1533268	PI_548379	PI548379	PI548379		
SRR1533269	PI_153262	PI153262	PI153262		
SRR1533270	PI_567298	PI567298	PI567298		
SRR1533271	PI_603318	PI603318	PI603318		
SRR1533272	PI_437653	PI437653	PI437653		
SRR1533273	Tong_an_Zi_Hong_Dou	Tong_an_Zi_Hong_Dou	UN50		
SRR1533274	PI_88479	PI88479	PI88479		
SRR1533275	Hong_Zhu_Dou	Hong_Zhu_Dou	UN51		
SRR1533276	Jin_Shan_Cha_Zhu_Shi_Dou	Jin_Shan_Cha_Zhu_Shi_Dou	UN53		
SRR1533277	He_Dou	He_Dou	UN54		
SRR1533278	PI_567189A	PI567189A	PI567189A		
SRR1533279	PI_548406	PI548406	PI548406		
SRR1533281	Xiao_Bai_Qi	Xiao_Bai_Qi	UN56		
SRR1533282	PI_323576	PI323576	PI323576		
SRR1533283	PI_548382	PI548382	PI548382		
SRR1533284	PI_416890	PI416890	PI416890		
SRR1533285	PI_587752	PI587752	PI587752		
SRR1533286	PI_424391	PI424391	PI424391		
SRR1533287	Pei_Xian_Xiao_You_Dou	Pei_Xian_Xiao_You_Dou	UN60		
SRR1533288	PI_603357	PI603357	PI603357		
SRR1533289	Hong_Hu_Liu_Yue_Bao	Hong_Hu_Liu_Yue_Bao	UN62		
SRR1533290	PI_437944	PI437944	PI437944		
SRR1533291	Sha_Xian_Qin_Dou	Sha_Xian_Qin_Dou	UN63		
SRR1533292	PI_157421	PI157421	PI157421		
SRR1533293	Ji_Shan_De_Da_Li_Hei_Dou	Ji_Shan_De_Da_Li_Hei_Dou	UN64		
SRR1533295	PI_567364	PI567364	PI567364		
SRR1533296	PI_84987	PI84987	PI84987		
SRR1533297	PI_548298	PI548298	PI548298		
SRR1533298	PI_423967	PI423967	PI423967		
SRR1533299	PI_548488	PI548488	PI548488		
SRR1533300	Guang_Rao_Da_Qing_Dou	Guang_Rao_Da_Qing_Dou	UN69		
SRR1533301	PI_423954	PI423954	PI423954		
SRR1533302	PI_587848	PI587848	PI587848		
SRR1533303	PI_587666	PI587666	PI587666		
SRR1533304	Ni_Dou	Ni_Dou	UN73		
SRR1533305	Sha_Xian_Wu_Dou	Sha_Xian_Wu_Dou	UN76		
SRR1533306	PI_399043	PI399043	PI399043		
